Slice,Count,Total Area,Average Size,%Area,Mean
154,3,1.564,0.521,9.792,255.000
155,2,0.650,0.325,4.073,255.000
156,3,1.418,0.473,8.881,255.000
157,5,3.638,0.728,22.784,255.000
158,7,3.534,0.505,22.131,255.000
159,6,3.443,0.574,21.562,255.000
160,8,3.373,0.422,21.125,255.000
161,10,3.163,0.316,19.808,255.000
162,10,3.140,0.314,19.661,255.000
163,10,3.110,0.311,19.476,255.000
164,10,3.234,0.323,20.254,255.000
165,8,3.263,0.408,20.433,255.000
166,5,3.277,0.655,20.524,255.000
167,3,3.319,1.106,20.784,255.000
168,6,3.279,0.546,20.534,255.000
169,5,3.331,0.666,20.859,255.000
170,5,3.367,0.673,21.087,255.000
171,8,3.377,0.422,21.149,255.000
172,9,3.306,0.367,20.704,255.000
173,10,3.083,0.308,19.306,255.000
174,10,2.869,0.287,17.964,255.000
175,7,3.330,0.476,20.855,255.000
176,8,3.349,0.419,20.974,255.000
177,9,3.357,0.373,21.022,255.000
178,9,2.847,0.316,17.827,255.000
179,5,2.861,0.572,17.919,255.000
180,6,2.953,0.492,18.492,255.000
181,5,1.153,0.231,7.220,255.000
182,4,1.174,0.293,7.349,255.000
183,5,1.261,0.252,7.895,255.000
184,4,3.301,0.825,20.669,255.000
185,6,3.309,0.552,20.724,255.000
186,4,1.090,0.272,6.823,255.000
187,5,3.183,0.637,19.931,255.000
188,6,3.050,0.508,19.101,255.000
189,7,3.047,0.435,19.079,255.000
190,8,3.025,0.378,18.940,255.000
191,10,3.006,0.301,18.825,255.000
192,10,1.649,0.165,10.329,255.000
193,9,0.845,0.094,5.294,255.000
194,11,2.081,0.189,13.034,255.000
195,13,3.170,0.244,19.853,255.000
196,13,2.017,0.155,12.631,255.000
197,11,3.024,0.275,18.937,255.000
198,15,2.969,0.198,18.593,255.000
199,14,2.963,0.212,18.556,255.000
200,18,2.991,0.166,18.730,255.000
201,18,2.910,0.162,18.224,255.000
202,13,2.903,0.223,18.177,255.000
203,13,2.497,0.192,15.637,255.000
204,13,2.422,0.186,15.167,255.000
205,12,2.761,0.230,17.290,255.000
206,12,3.206,0.267,20.079,255.000
207,12,3.280,0.273,20.538,255.000
