Slice,Count,Total Area,Average Size,%Area,Mean
1214,12,7.201,0.600,45.097,254.172
1215,12,7.792,0.649,48.798,255.000
1216,11,8.052,0.732,50.425,255.000
1217,13,7.787,0.599,48.764,255.000
1218,12,7.805,0.650,48.879,255.000
1219,12,7.183,0.599,44.980,255.000
1220,12,7.457,0.621,46.700,255.000
1221,14,7.554,0.540,47.304,255.000
1222,11,7.540,0.685,47.220,255.000
1223,12,7.254,0.605,45.427,255.000
1224,12,7.066,0.589,44.248,255.000
1225,11,7.014,0.638,43.921,255.000
1226,11,7.087,0.644,44.381,255.000
1227,11,7.156,0.651,44.810,255.000
1228,12,7.165,0.597,44.869,253.919
1229,12,7.525,0.627,47.123,254.469
1230,12,7.606,0.634,47.631,254.557
1231,11,7.511,0.683,47.036,255.000
1232,11,7.573,0.688,47.425,255.000
1233,11,7.857,0.714,49.200,254.455
1234,11,7.843,0.713,49.115,254.529
1235,11,7.623,0.693,47.740,254.509
1236,12,7.386,0.616,46.254,255.000
1237,12,7.305,0.609,45.744,254.696
1238,12,7.244,0.604,45.365,253.860
1239,12,7.131,0.594,44.657,254.464
1240,13,6.678,0.514,41.817,255.000
1241,13,6.226,0.479,38.986,255.000
1242,12,6.251,0.521,39.147,255.000
1243,14,6.489,0.463,40.635,254.810
1244,15,6.704,0.447,41.980,254.692
1245,12,7.087,0.591,44.383,254.514
1246,14,7.253,0.518,45.421,254.617
1247,12,7.594,0.633,47.556,254.602
1248,13,7.252,0.558,45.417,254.874
1249,12,6.864,0.572,42.984,254.450
1250,12,6.793,0.566,42.538,254.372
1251,12,6.665,0.555,41.738,254.323
1252,12,6.496,0.541,40.679,254.336
1253,12,6.492,0.541,40.657,254.418
1254,12,6.441,0.537,40.337,254.595
1255,11,6.371,0.579,39.899,254.780
1256,11,6.388,0.581,40.006,255.000
1257,11,6.575,0.598,41.173,255.000
1258,11,6.552,0.596,41.028,254.758
1259,11,6.289,0.572,39.383,254.476
1260,12,6.016,0.501,37.677,254.137
1261,13,5.887,0.453,36.863,253.958
1262,13,5.657,0.435,35.425,253.840
1263,13,5.289,0.407,33.123,255.000
1264,15,5.323,0.355,33.333,255.000
1265,17,5.051,0.297,31.629,255.000
1266,17,5.071,0.298,31.756,255.000
1267,15,5.259,0.351,32.931,255.000
1268,12,5.484,0.457,34.341,255.000
1269,12,5.646,0.470,35.355,255.000
1270,12,5.843,0.487,36.587,255.000
1271,11,5.952,0.541,37.274,255.000
1272,11,5.996,0.545,37.550,255.000
1273,13,5.835,0.449,36.538,255.000
1274,14,5.795,0.414,36.292,254.962
1275,14,5.971,0.427,37.393,255.000
1276,15,5.624,0.375,35.218,255.000
1277,13,6.188,0.476,38.748,255.000
1278,15,6.232,0.415,39.024,255.000
1279,13,6.275,0.483,39.296,255.000
1280,13,6.366,0.490,39.867,254.797
1281,13,6.586,0.507,41.242,255.000
